symbol,name,sector,market_cap,pe_ratio,forward_pe,peg_ratio,price_to_book,price_to_sales,enterprise_value,ev_to_ebitda,ev_to_revenue,profit_margin,operating_margin,gross_margin,roe,roa,revenue_growth,earnings_growth,earnings_quarterly_growth,current_ratio,quick_ratio,debt_to_equity,total_debt,total_cash,free_cash_flow,dividend_yield,payout_ratio,current_price,52_week_high,52_week_low,beta,target_mean_price,recommendation,analyst_count,pct_from_high,pct_from_low,upside_potential
TATAMOTORS.NS,Tata Motors,Automobile,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,none,0,0.0,0.0,0.0
EICHERMOT.NS,Eicher Motors,Automobile,1912688607232,37.471115,30.292952,0,8.659358,8.983715,1889110589440,38.751,8.873,0.23989001,0.21264,0.43106,0.24874,0.10108,0.448,0.244,0.245,1.587,1.046,2.018,4457800192,48704499712,33447524352,0.99,0.3765,6973.0,7613.5,4646.0,0.094,7266.6855,hold,35,-8.412687988441583,50.08609556607835,4.211752473827615
HEROMOTOCO.NS,Hero MotoCorp,Automobile,1077239414784,20.39394,18.556751,0,5.129114,2.5541623,978051268608,16.149,2.319,0.12526,0.13535,0.33984002,0.26332,0.10978,0.166,0.231,0.231,1.888,1.537,3.395,7180700160,107945598976,33744762880,2.37,0.62520003,5384.0,6388.5,3344.0,0.696,5919.2974,buy,37,-15.723565782265009,61.004784688995215,9.94237369985142
SUNPHARMA.NS,Sun Pharmaceutical,Pharmaceuticals,3915474796544,37.403164,29.042746,0,5.0295568,7.1237063,3695918448640,23.589,6.724,0.19012,0.23256001,0.78192,0.14216,0.08574,0.089,0.024,0.026,2.57,1.848,6.675,52151001088,278804299776,41626075136,0.98,0.367,1631.9,1851.2,1548.0,0.16,1965.2894,buy,38,-11.846369922212615,5.419896640826879,20.429523867884047
DRREDDY.NS,Dr. Reddy's Laboratories,Pharmaceuticals,1028677697536,18.186634,22.414106,0,2.7626607,2.9745097,1017254248448,11.998,2.941,0.16363001,0.16420999,0.55182,0.161,0.079569995,0.044,-0.143,-0.144,1.88,1.18,18.026,67732000768,82588999680,13468874752,0.66,0.1179,1235.6,1379.7,1020.0,0.315,1308.9777,hold,39,-10.444299485395385,21.137254901960777,5.938629006150858
CIPLA.NS,Cipla,Pharmaceuticals,1062219874304,19.54228,20.786615,0,3.2267485,3.798279,961921613824,13.56,3.44,0.19455999,0.21454,0.66503,0.17676,0.10307,0.07,0.037,0.037,3.957,2.78,1.415,4673699840,106022404096,22012637184,0.95,0.19309999,1315.0,1673.0,1303.0,0.042,1641.0834,buy,36,-21.398684997011358,0.920951650038373,24.79721673003802
DIVISLAB.NS,Divi's Laboratories,Pharmaceuticals,1595864383488,64.300995,50.285873,0,10.347671,15.9124975,1578963435520,48.643,15.744,0.24778,0.28545,0.60793996,0.17061001,0.104449995,0.161,0.353,0.351,5.696,3.4,0.584,900000000,32610000896,-6226250240,0.49,0.3205,6011.5,7071.5,4955.0,0.117,6823.0625,hold,32,-14.989747578307288,21.321897073662967,13.50016634783332
APOLLOHOSP.NS,Apollo Hospitals,Healthcare,978167005184,58.5305,40.43334,0,10.756531,4.2045116,1030293749760,33.229,4.429,0.07186,0.114750005,0.3391,0.19795,0.07553,0.128,0.26,0.206,1.641,1.425,83.606,79872000000,31439998976,3821250048,0.29,0.1634,6803.0,8099.5,6001.0,0.145,8718.345,strong_buy,29,-16.007160935860238,13.364439260123312,28.154417168896067
RELIANCE.NS,Reliance Industries,Oil & Gas,18757359501312,22.563894,20.957327,0,2.138647,1.8307936,21996287033344,13.058,2.147,0.08122,0.11852,0.35777,0.0,0.0,0.104,0.006,0.006,0.0,0.0,35.651,3745930018816,2238710022144,0,0.39,0.08939999,1386.1,1611.8,1114.85,0.307,1720.3055,strong_buy,36,-14.002978036977295,24.33062743866888,24.11121131231513
ONGC.NS,Oil & Natural Gas Corporation,Oil & Gas,3088081223680,8.432497,6.572041,0,0.83895844,0.47089803,4683411750912,4.878,0.714,0.05582,0.10922,0.19208,0.10977,0.05084,-0.003,0.05,0.05,0.874,0.431,43.805,1760177946624,502678290432,391619936256,7.48,0.42080003,245.47,265.64,205.0,0.162,276.58066,buy,31,-7.592982984490283,19.741463414634143,12.673915346070814
