symbol,current_price,return_1d,return_5d,return_20d,return_60d,return_252d,volatility_20d,volatility_60d,sma_20,sma_50,sma_200,price_vs_sma20,price_vs_sma50,price_vs_sma200,trend_strength,rsi_14,macd_histogram,bb_position,avg_volume_20d,volume_ratio,max_drawdown,sharpe_ratio,sortino_ratio
HDFCBANK.NS,916.0999755859375,-0.002830125815332929,-0.016109977868445924,-0.07660518281447815,-0.07211588482462483,-0.07211588482462483,0.12920175935764217,0.11736502328797965,950.5775024414063,978.1419970703125,974.1271124267578,-3.627008504505813,-6.3428440523155665,-5.956834185249427,-2.818046327779211,11.67282353243499,-2.275112229915102,0.20516938405524607,27958720.75,1.1081699437196175,-0.09556722923777342,0.4013317124256409,0.6173679594900987
ICICIBANK.NS,1343.4000244140625,-0.001560739937523259,-0.04777432809847715,-0.005183649195383611,-0.001412342485022311,-0.001412342485022311,0.20568980651697943,0.155672052163916,1383.190008544922,1376.36400390625,1400.250435180664,-2.8766824431241678,-2.3950044754608935,-4.060017361056312,0.49594472242076026,43.628119922107274,-8.046502034076893,0.22567222756244465,12677354.05,1.1087730093015742,-0.10614782604456056,0.44604904079208413,0.705055620341035
KOTAKBANK.NS,422.79998779296875,-0.007511765744204757,0.010999463059939485,-0.02319565804885615,0.005613132284888689,0.005613132284888689,0.16319426088244918,0.12828028424781138,428.38799743652345,427.8391998291016,420.94623764038084,-1.3044272194817297,-1.1778285014897416,0.44037693815226486,0.12827193198778897,32.59392549406624,-0.5907106996466773,0.30073593488968037,13430160.65,0.7853095189892609,-0.1428334226049098,0.35506164681146435,0.4944909913544868
AXISBANK.NS,1258.0,-0.02842141445810986,-0.02797091063022883,0.02426319004465971,0.020441231484237488,0.020441231484237488,0.20074952683514485,0.17773904081610362,1279.4650146484375,1268.21400390625,1186.430453491211,-1.6776554577645486,-0.8053848857361268,6.032342333946938,0.8871539588376498,41.89975728190221,-1.7562568055176193,0.22577635995656495,5286156.4,1.680804412067717,-0.15193096336009057,1.1771042365490207,1.7506721107465912
SBIN.NS,1029.5,-0.01798061336854806,-0.012280579706886008,0.06540413226267372,0.09871931696905012,0.09871931696905012,0.1604441043024685,0.1421370594336261,1012.9200042724609,987.1299987792969,868.5068511962891,1.6368514450899596,4.292241272486774,18.53677361116468,2.6126250367283443,59.14471552988875,0.8743889644795715,0.6734888527412021,8146769.45,1.3398520808760581,-0.11601643292930189,1.733565261026903,2.994475772763524
INDUSINDBK.NS,892.4500122070312,-0.011080946162928207,-0.06437067143728659,0.05012653744176765,0.1228611297355715,0.1228611297355715,0.3105048979185369,0.25256860463513153,901.5775024414063,868.6500012207031,814.1975009155274,-1.012391082259534,2.7398849885319043,9.610998707747509,3.790652296601693,47.95417266825966,-3.829914107175451,0.42750235877659637,4670730.45,1.264505426554855,-0.4096469259513617,-0.13775430000036215,-0.13481516405818125
BAJFINANCE.NS,927.8499755859375,-0.015909211845371418,-0.023572769706984964,-0.07215002441406249,-0.11023213258511622,-0.11023213258511622,0.1975815649116747,0.2484515601690243,962.3374969482422,993.435,958.3802142333984,-3.5837241582782897,-6.601843544274411,-3.185608195373879,-3.130300729464708,29.39270266603826,-1.6038749852230652,0.08646431345247448,6820465.45,0.9579687849602698,-0.15199017055927203,0.7816222879652016,1.1408515551789074
BAJAJFINSV.NS,1949.0,-0.02212632388045299,-0.02671660424469413,-0.03400078133229312,-0.06670499716087008,-0.06670499716087008,0.1652331043871579,0.213647213480251,2008.1850036621095,2038.0240014648436,2024.618002319336,-2.947188807514256,-4.368152749960597,-3.734926896466917,-1.4641141508287991,31.301830548780572,-4.29775235685077,-0.026022239629243847,1173877.1,0.8917611562573288,-0.10456679566509641,0.33503366161186726,0.49748932992725414
HDFCLIFE.NS,712.0999755859375,-0.017928562181366736,-0.027916200324626606,-0.04856708668345755,-0.026986405218074494,-0.026986405218074494,0.16465390607492755,0.16706294495117202,745.7174926757813,756.9589953613281,757.5838269042969,-4.508076774385095,-5.926215297035675,-6.003804424418524,-1.4850874029419203,27.263960617251684,-3.6810029410409264,-0.030075374941467403,3132490.85,1.0320132299827787,-0.12550658693245006,0.5106947550810957,0.9448505210647388
SBILIFE.NS,2002.5999755859375,-0.009594473003987414,-0.037674206830400014,-0.008171957901793259,0.02398119629034068,0.02398119629034068,0.15455143468061316,0.12633012055626675,2057.245001220703,2030.0320043945312,1865.4632513427734,-2.656223522348633,-1.3513101640373115,7.351349545184127,1.3405205813141086,34.171647515050054,-9.551658394984468,0.04949244771217302,859655.85,1.3128079102817716,-0.07169515842174798,1.4978024896109323,2.739106176429871
TCS.NS,3162.5,0.00384081324001051,-0.013783625485671691,-0.01829547823726385,0.05297281760295869,0.05297281760295869,0.21310499705112168,0.17217225026253746,3167.725634765625,3154.0179638671875,3144.394183349609,-0.16496487916357605,0.2689279588760751,0.5758125602147945,0.43460979155711676,50.353135578482316,-6.2268211628464565,0.4604962944185182,2698911.65,0.7664270892305793,-0.29582954959704993,-1.4746841964771207,-2.164220201500576
INFY.NS,1670.800048828125,0.004388367194544607,-0.011243933868493206,0.008876319943780242,0.1271672359108562,0.1271672359108562,0.25478800295647147,0.21435242240746125,1632.5000122070312,1606.9180053710938,1524.3347766113282,2.3460971721105617,3.975438898780559,9.608471476482116,1.5919920462917236,64.43947526118461,3.173942921336508,0.8265816887625519,6181206.45,0.9494091562012137,-0.27087409534094437,-0.4585539461732283,-0.7507222372174159
